Nom municipi,Districte,Secció,Cens electoral,Votants,xcoord,ycoord,MUNICIPI,area,Turnout,Density
AVINYONET DEL PENEDÈS,1,1,1297,815,1.78321057108943,41.352131224277,80137.0,29147110.3795166,0.6283731688511951,44.498407667590904
AVINYÓ,1,1,1728,1078,1.97651292711089,41.8606956856363,80121.0,63561732.9869385,0.6238425925925926,27.186168765333885
AVIÀ,1,1,1745,1118,1.83075007555497,42.0655896724219,80116.0,27168649.3388672,0.6406876790830945,64.22844132717412
BADALONA,1,1,1179,807,2.24765454872335,41.4450254087227,80155.0,121563.627075195,0.6844783715012722,9698.624731480839
BADALONA,1,2,962,575,2.24849700806194,41.4476998081891,80155.0,92101.6047363281,0.5977130977130977,10444.986303485693
BADALONA,1,3,803,523,2.25005133942865,41.4486118853776,80155.0,79152.6190185547,0.651307596513076,10144.958056432262
BADALONA,1,4,1135,751,2.25189121354963,41.4493648350199,80155.0,48503.9343261719,0.6616740088105727,23400.16363141852
BADALONA,1,5,1157,751,2.24524887619226,41.447508072489,80155.0,72868.4018554688,0.6490924805531547,15877.9384553384
BADALONA,1,7,984,674,2.25026560483218,41.4513088705153,80155.0,50571.7448730469,0.6849593495934959,19457.505420669007
BADALONA,2,1,1027,550,2.24045716368875,41.4498987751407,80155.0,149233.166259766,0.5355404089581305,6881.848222749156
BADALONA,2,2,1363,916,2.24347341958368,41.4507561824665,80155.0,100841.803100586,0.6720469552457814,13516.220040616068
BADALONA,2,3,722,458,2.24629239602318,41.4509716926352,80155.0,66368.912109375,0.6343490304709142,10878.58723388677
BADALONA,2,4,1637,1022,2.24844979746998,41.4529068043149,80155.0,86109.3986816406,0.6243127672571778,19010.700632717635
BADALONA,2,5,913,348,2.2353608442158,41.4499910297881,80155.0,63824.9691162109,0.38116100766703176,14304.746443944729
BADALONA,2,7,880,358,2.23851309644017,41.4516510586377,80155.0,22340.6015625,0.4068181818181818,39390.16581707143
BADALONA,2,8,1790,1071,2.2456706992529,41.4538249854615,80155.0,110093.237182617,0.5983240223463687,16258.946015283755
BADALONA,2,9,698,230,2.23720690685376,41.452102779119,80155.0,8745.60778808594,0.32951289398280803,79811.49131234526
BADALONA,2,10,1067,332,2.23569199139809,41.4517263350143,80155.0,26075.1121826172,0.31115276476101217,40920.24580861855
BADALONA,2,11,1143,448,2.23691553065303,41.4527808074849,80155.0,21296.9114990234,0.39195100612423445,53669.75394776909
BADALONA,2,12,774,309,2.23388239083,41.4518616220201,80155.0,40178.7767333984,0.3992248062015504,19263.90156514189
BADALONA,2,13,815,336,2.23763461489321,41.4507546588614,80155.0,23049.9725341797,0.41226993865030676,35357.95970218514
BADALONA,2,15,773,274,2.23521101489985,41.4534164795895,80155.0,33416.7908935547,0.35446313065976714,23132.08358224168
BADALONA,3,1,2061,1101,2.23551106516111,41.438542706191,80155.0,385779.558837891,0.5342066957787481,5342.42925210575
BADALONA,3,3,1350,715,2.23633034840984,41.4420034350502,80155.0,62275.3115234375,0.5296296296296297,21677.932506077042
BADALONA,3,4,1302,719,2.24105296154651,41.4415239835456,80155.0,53294.9276123047,0.5522273425499232,24430.09228704525
