Nom municipi,Densitat,MUNICIPI
la Vall de Bianya,13.62,172082
les Llosses,1.86,170963
les Planes d'Hostoles,45.65,171334
les Preses,197.34,171390
Aiguamúrcia,12.74,430017
Albinyana,127.22,430022
Alcanar,200.3,430043
Alcover,111.83,430056
Aldover,44.8,430069
Alfara de Carles,5.88,430081
Alforja,46.68,430094
Alió,62.74,430108
Almoster,223.5,430115
Altafulla,758.14,430120
Amposta,152.68,430141
Arbolí,6.11,430154
Arnes,10.33,430189
Ascó,22.34,430192
Banyeres del Penedès,262.87,430206
Barberà de la Conca,17.71,430213
Batea,14.81,430228
Bellmunt del Priorat,30.67,430234
Bellvei,269.52,430249
Benifallet,11.59,430252
Benissanet,49.35,430265
Blancafort,26.34,430290
Bonastre,27.4,430304
Bot,15.87,430326
Botarell,90.5,430332
Bràfim,108.59,430347
Cabassers,9.65,430350
Cabra del Camp,43.68,430363
Calafell,1352.99,430379
Camarles,126.75,439039
Cambrils,986.76,430385
Capafonts,8.35,430398
Capçanes,17.42,430402
Caseres,5.52,430419
Castellvell del Camp,543.85,430424
Colldejou,11.59,430458
Conesa,3.45,430461
Constantí,215.7,430477
Corbera d'Ebre,18.89,430483
Cornudella de Montsant,14.87,430496
Creixell,357.9,430509
Cunit,1395.15,430516
Deltebre,107.8,439018
Duesaigües,17.94,430537
Falset,86.55,430555
Figuerola del Camp,14.49,430593
Flix,29.17,430607
Forès,2.69,430614
Freginals,21.88,430629
Gandesa,43.48,430640
Garcia,10.06,430653
Ginestar,48.35,430672
Godall,17.8,430688
Gratallops,17.56,430691
Horta de Sant Joan,9.63,430712
Llorac,3.91,430733
Llorenç del Penedès,520.65,430748
Margalef,3.05,430751
Marçà,37.27,430764
Mas de Barberans,7.16,430770
Masdenverge,73.36,430786
Masllorenç,77.69,430799
Maspujols,222.43,430810
Miravet,21.86,430846
Mont-ral,4.84,430918
Mont-roig del Camp,196.84,430923
Montblanc,81.0,430862
Montbrió del Camp,271.87,430884
Montferri,21.1,430897
Móra d'Ebre,126.27,430939
Móra la Nova,195.47,430944
Nulles,48.02,430982
Passanant i Belltall,5.66,431016
Paüls,12.44,431021
Perafort,133.05,431037
Pira,62.88,431074
Poboleda,23.09,431129
Pontils,1.8,431418
Porrera,14.72,431140
Pradell de la Teixeta,7.25,431153
Prades,18.04,431166
Prat de Comte,6.7,431172
Pratdip,20.0,431188
Puigpelat,122.42,431191
Querol,7.16,431205
Rasquera,15.26,431212
Renau,19.76,431227
Reus,2010.76,431233
Riba-roja d'Ebre,11.2,431251
Riudecanyes,67.02,431270
Riudecols,60.97,431286
Riudoms,202.75,431299
Rocafort de Queralt,24.82,431303
Roda de Berà,411.21,431310
Rodonyà,58.12,431325
Roquetes,59.01,431331
Salomó,45.0,431359
Salou,1889.14,439057
Sant Carles de la Ràpita,278.45,431362
Sant Jaume d'Enveja,58.01,439023
Sant Jaume dels Domenys,107.54,431378
Santa Bàrbara,132.21,431384
Santa Coloma de Queralt,78.82,431397
Santa Oliva,345.67,431401
Sarral,29.35,431423
Savallà del Comtat,3.58,431439
Senan,3.76,431460
Solivella,29.53,431476
Tivenys,16.86,431495
Tivissa,7.73,431508
Torredembarra,1904.25,431536
Torroja del Priorat,11.52,431541
Tortosa,153.04,431554
Ulldecona,51.42,431567
Ulldemolins,10.42,431573
Vallclara,6.47,431589
Vallfogona de Riucorb,7.06,431592
Vallmoll,106.23,431606
Valls,442.62,431613
Vandellòs i l'Hospitalet de l'Infant,64.29,431628
Vespella de Gaià,23.17,431649
Vila-rodona,38.55,431704
Vila-seca,1044.21,431711
Vilabella,40.05,431652
Vilalba dels Arcs,9.23,431750
Vilallonga del Camp,267.22,431665
Vilanova d'Escornalbou,32.85,431671
Vilanova de Prades,4.98,431687
Vilaplana,23.92,431690
Vilaverd,35.16,431726
Vimbodí i Poblet,13.46,431763
Vinebre,16.1,431779
Vinyols i els Arcs,196.67,431785
Xerta,35.62,430521
el Catllar,172.61,430430
el Lloar,15.91,430727
el Masroig,31.74,430825
el Milà,46.34,430831
el Molar,12.76,430859
el Montmell,21.73,430901
el Morell,634.24,430957
el Perelló,28.06,431042
el Pinell de Brai,17.68,431068
el Pla de Santa Maria,67.09,431080
el Pont d'Armentera,22.49,431135
el Rourell,161.74,431346
el Vendrell,1042.74,431634
els Garidells,61.29,430666
els Guiamets,22.98,430705
els Pallaresos,950.98,431009
l'Albiol,24.63,430038
